"","datafilePath","md5sum","fileSize","biologicalCategory","organisation","patientId","projectName","protocol","technicalPlatform"
"65","/odin/kdi/dataset/2217406/archive/M2_Creno_n3_S24_I1_001.fastq.gz","746420d8092e630af6a902be5c85ce64",652315145,"transcriptomics","Plateforme de Genomique Recherche",NA,"P37_ARJA_1|SHARING_P37_ARJA_1|mooseQC","mRNA-seq","NovaSeq"
"66","/odin/kdi/dataset/2217406/archive/M2_Creno_n3_S24_I2_001.fastq.gz","9fd5e898aebbf047980011137683d2af",729910119,"transcriptomics","Plateforme de Genomique Recherche",NA,"P37_ARJA_1|SHARING_P37_ARJA_1|mooseQC","mRNA-seq","NovaSeq"
"67","/odin/kdi/dataset/2217406/archive/M2_Creno_n3_S24_R1_001.fastq.gz","13af22af5acee43ae83f151696cc6035",5625073291,"transcriptomics","Plateforme de Genomique Recherche",NA,"P37_ARJA_1|SHARING_P37_ARJA_1|mooseQC","mRNA-seq","NovaSeq"
"68","/odin/kdi/dataset/2217406/archive/M2_Creno_n3_S24_R2_001.fastq.gz","ecdc0b0294666aed46cb9523fa353582",5818334459,"transcriptomics","Plateforme de Genomique Recherche",NA,"P37_ARJA_1|SHARING_P37_ARJA_1|mooseQC","mRNA-seq","NovaSeq"
"69","/odin/kdi/dataset/2217407/archive/M2_Mido_n4_S38_I1_001.fastq.gz","fcdc09342c202a6baddde12cb4b721c5",435519215,"transcriptomics","Plateforme de Genomique Recherche",NA,"P37_ARJA_1|SHARING_P37_ARJA_1|mooseQC","mRNA-seq","NovaSeq"
"70","/odin/kdi/dataset/2217407/archive/M2_Mido_n4_S38_I2_001.fastq.gz","e20ffd8ee34b57800956ff21fc67987b",457528995,"transcriptomics","Plateforme de Genomique Recherche",NA,"P37_ARJA_1|SHARING_P37_ARJA_1|mooseQC","mRNA-seq","NovaSeq"
"71","/odin/kdi/dataset/2217407/archive/M2_Mido_n4_S38_R1_001.fastq.gz","1e28c3a5d3e9a872f5dfc794a2e8f8db",3422114565,"transcriptomics","Plateforme de Genomique Recherche",NA,"P37_ARJA_1|SHARING_P37_ARJA_1|mooseQC","mRNA-seq","NovaSeq"
"72","/odin/kdi/dataset/2217407/archive/M2_Mido_n4_S38_R2_001.fastq.gz","2a69d3d459506aca8fbd313c3daf513b",3525367442,"transcriptomics","Plateforme de Genomique Recherche",NA,"P37_ARJA_1|SHARING_P37_ARJA_1|mooseQC","mRNA-seq","NovaSeq"
"73","/odin/kdi/dataset/2217408/archive/M2_Quiz_n1_S6_I1_001.fastq.gz","8bf4b1812d45e5161737932fc23dcd99",584526295,"transcriptomics","Plateforme de Genomique Recherche",NA,"P37_ARJA_1|SHARING_P37_ARJA_1|mooseQC","mRNA-seq","NovaSeq"
"74","/odin/kdi/dataset/2217408/archive/M2_Quiz_n1_S6_I2_001.fastq.gz","0168e77824ddff08b960a027c926e926",600460917,"transcriptomics","Plateforme de Genomique Recherche",NA,"P37_ARJA_1|SHARING_P37_ARJA_1|mooseQC","mRNA-seq","NovaSeq"
"75","/odin/kdi/dataset/2217408/archive/M2_Quiz_n1_S6_R1_001.fastq.gz","2b163eaed93f69eb37ac7f385d6c701f",4148721230,"transcriptomics","Plateforme de Genomique Recherche",NA,"P37_ARJA_1|SHARING_P37_ARJA_1|mooseQC","mRNA-seq","NovaSeq"
"76","/odin/kdi/dataset/2217408/archive/M2_Quiz_n1_S6_R2_001.fastq.gz","f994082880a89cb5dd51dc21136cbb90",4247127608,"transcriptomics","Plateforme de Genomique Recherche",NA,"P37_ARJA_1|SHARING_P37_ARJA_1|mooseQC","mRNA-seq","NovaSeq"
"77","/odin/kdi/dataset/2217409/archive/M2_C5_n4_S39_I1_001.fastq.gz","711f4c8db2b1ad4584f3f0e0e9c00fd1",478743708,"transcriptomics","Plateforme de Genomique Recherche",NA,"P37_ARJA_1|SHARING_P37_ARJA_1|mooseQC","mRNA-seq","NovaSeq"
"78","/odin/kdi/dataset/2217409/archive/M2_C5_n4_S39_I2_001.fastq.gz","531ceb2c99403d84c9b573988e79e2e3",462853533,"transcriptomics","Plateforme de Genomique Recherche",NA,"P37_ARJA_1|SHARING_P37_ARJA_1|mooseQC","mRNA-seq","NovaSeq"
"79","/odin/kdi/dataset/2217409/archive/M2_C5_n4_S39_R1_001.fastq.gz","f1b19e777722d2025e5d7f09775f221f",3717819776,"transcriptomics","Plateforme de Genomique Recherche",NA,"P37_ARJA_1|SHARING_P37_ARJA_1|mooseQC","mRNA-seq","NovaSeq"
"80","/odin/kdi/dataset/2217409/archive/M2_C5_n4_S39_R2_001.fastq.gz","a1057817108b1d8c60a026cad997cfd6",3781628209,"transcriptomics","Plateforme de Genomique Recherche",NA,"P37_ARJA_1|SHARING_P37_ARJA_1|mooseQC","mRNA-seq","NovaSeq"
"81","/odin/kdi/dataset/2217410/archive/M2_C3_n3_S25_I1_001.fastq.gz","8f7a4b236edc4b834df97bc1aecf38c4",657791341,"transcriptomics","Plateforme de Genomique Recherche",NA,"P37_ARJA_1|SHARING_P37_ARJA_1|mooseQC","mRNA-seq","NovaSeq"
